,0
BW금액,2045772810.7944233
CB금액,13111655948.834373
경영권분쟁소송,0.2317953993026607
불성실공시법인지정카운트,0.2531861379381984
상호변경카운트,0.13743354949820322
업종변경카운트,0.05202215923894936
유상증자금액,5294917503.784662
조회공시요구카운트,0.5613312300838419
최대주주변경을수반하는주식담보제공금액,2318436275.565921
최대주주변경을수반하는주식양수도금액,2927095873.302367
최대주주변경카운트,0.4410125320928553
타법인주식및출자증권취득결정금액,5298104019.877366
특수관계인에대한자금대여금액,472.4647616025758
결산기간_거래량증가,inf
결산기간_주가변동률,1.0413277535862253
당기순이익,-5924462.039242798
매출채권,18749685.127032436
매출총이익,859284.2905921091
영업이익,-2866229.7891426636
영업현금흐름,-1524070.2788118015
차입금의존도,35.39798332923924
총자본,49618775.42967348
최대주주비율,22.45164421915093
판매 및 관리비,3724321.0811126875
최대주주비율_변동성,inf
