,BW금액,CB금액,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식담보제공금액,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,특수관계인에대한자금대여금액,결산기간_거래량증가,결산기간_주가변동률,당기순이익,매출채권,매출총이익,영업이익,영업현금흐름,차입금의존도,총자본,최대주주비율,판매 및 관리비,최대주주비율_변동성
2012-01,2400737501.984127,431445483.5416667,0.0,0.12896825396825398,0.04365079365079365,0.09126984126984126,2300144464.3353176,0.5535714285714286,0.0,750757354.4484127,0.15674603174603174,2057311335.8948412,55.55555555555556,inf,1.0639396815586808,-3777912.863847553,20122598.221795633,227120.4095436509,-2328320.9931183862,-6611.100385251307,28.113601190476192,46216394.59441799,30.523761008256827,2555445.051486442,-0.0002522178897360535
2012-04,2471988781.4960628,512523664.77362204,0.0,0.11614173228346457,0.04921259842519685,0.09645669291338582,5085644198.771653,0.5570866141732284,0.0,687957013.3700787,0.17519685039370078,3175049978.570866,55.118110236220474,inf,1.4335031698926064,-6406810.660836615,30808383.733976375,-146693.8135137796,-3299344.241574803,10231.676633858262,28.416771653543307,49940201.1066437,30.114760258445525,3152650.429468504,0.00044835882389535547
2012-07,3440211379.958246,385204638.2150313,0.0,0.1440501043841336,0.06680584551148225,0.031315240083507306,4106493902.19833,0.5553235908141962,0.0,748720522.7640918,0.21085594989561587,3570137478.348643,363.0835073068894,inf,1.6634487036916419,-8160466.753434239,35149419.6475261,-372911.6953392483,-4019657.9588152403,126906.68075156579,31.452259916492693,51856998.107426934,28.418411864358426,3647086.0169572025,0.004251796919485127
2012-10,2967835676.0299625,325855074.90636706,0.0,0.1198501872659176,0.07116104868913857,0.028089887640449437,2796096784.801498,0.46441947565543074,0.0,796359724.9962547,0.17790262172284643,3485396470.1441946,197.41011235955057,inf,1.5520895861696793,-6983583.735744381,37308278.02813202,-208897.5254588014,-3792167.786558989,-606711.5079197877,29.31686329588015,49841455.30578652,30.891906149301658,3583575.012181648,0.005641806846283732
2013-01,2435137726.358149,601276496.3702214,0.012072434607645875,0.11670020120724346,0.07847082494969819,0.030181086519114688,1505632944.5593562,0.46680080482897385,0.0,747245018.5694165,0.19114688128772636,2373942747.6720324,226.99597585513078,inf,1.5557129421267464,-6421057.909237089,32841792.95735916,-668317.3968913478,-3877266.3191230725,-1488903.6752095914,29.62315392354125,43683083.93561871,30.594342861215885,3207169.934218645,0.005232503411511038
2013-04,1854738514.8514853,1558386140.5009902,0.02574257425742574,0.1188118811881188,0.07920792079207921,0.02574257425742574,5290011748.09703,0.4198019801980198,0.0,642469598.5980198,0.20594059405940593,1622974748.6950495,0.0,inf,1.7967244535236848,-8893938.455013199,50094462.99817327,-829811.8693762376,-4704902.908343235,-2976989.2481930694,31.044935643564354,52550285.15827228,31.260458146656607,3871267.166580858,0.007080973802573986
2013-07,995345776.0314342,1366892428.1984284,0.04518664047151277,0.09430255402750491,0.07465618860510806,0.029469548133595286,5298044809.047152,0.3929273084479371,0.0,684020523.5481336,0.18860510805500982,1502598936.3202357,38.644400785854614,inf,1.577223148921449,-6655321.641355599,41134714.94910118,-219210.88930746567,-3845841.934926326,-2307262.4655042565,30.774454813359533,42861132.90446955,31.945559679847836,3622517.496114931,0.008833048320359934
2013-10,172765048.5436893,1493233487.2873785,0.06019417475728155,0.10097087378640776,0.06601941747572816,0.02330097087378641,5906588066.906796,0.36699029126213595,0.0,680528977.8679612,0.20388349514563106,1313258307.576699,149.06796116504853,inf,1.5269758661228716,-6738335.195970874,43262711.6407961,-204856.43336893193,-3804365.711475728,-2148500.7295711976,30.662174757281555,47207022.22209709,31.23169177935517,3595443.65311165,inf
2014-01,170466417.91044775,1463849098.7369404,0.06716417910447761,0.08955223880597014,0.061567164179104475,0.022388059701492536,4348308408.828359,0.34328358208955223,0.0,496287970.1977612,0.16791044776119404,1309566384.710821,0.0,inf,1.3142166607026253,-5682374.400569029,17348016.948880594,-282703.50380441546,-2634065.5198616297,-1090800.2075590799,28.368218283582088,30024643.485354476,31.893200881815424,2351362.017509328,inf
2014-04,188460111.3172542,1598660375.9962895,0.07606679035250463,0.07421150278293136,0.06493506493506493,0.02411873840445269,1785949834.974026,0.4267161410018553,0.0,580461485.5769944,0.1614100185528757,1519942602.5120595,128.7012987012987,inf,1.2180399374971005,-2300942.156187384,17566204.602682434,1476597.6206694497,-1047087.1139486703,-367564.03895330854,28.87916512059369,39992942.02110853,32.36671705940034,2523684.735309215,inf
2014-07,163145009.41619587,1796689705.2617702,0.064030131826742,0.08286252354048965,0.08286252354048965,0.04896421845574388,1460709866.4538605,0.4839924670433145,0.0,668923507.2090396,0.1958568738229755,1696247879.1468925,27.627118644067796,inf,1.0798535099837083,-1920682.971977401,13212770.315235404,1339144.0083003766,-1002236.2071468927,-207196.30647363467,27.498502824858758,36300283.01865349,32.62458959704562,2341380.2250141245,inf
2014-10,370244821.0922787,2788183113.92467,0.06591337099811675,0.08662900188323917,0.0847457627118644,0.0583804143126177,2361373025.2033896,0.5329566854990584,46702448.210922785,992490064.2184558,0.21092278719397364,2775852695.480226,13.465160075329567,inf,1.2497585688075092,-3806175.434646892,26987169.32996704,1777732.1522175143,-1645096.6795338984,-1063033.708083804,30.239882297551787,47655994.96080037,30.496792424466523,3422828.8357203393,inf
2015-01,444639376.2183236,3269136674.128655,0.06432748538011696,0.09746588693957114,0.09746588693957114,0.06237816764132553,2332935558.5906434,0.5497076023391813,180212465.8869396,1492573363.508772,0.25146198830409355,3979985145.019493,80.21442495126706,inf,1.3138583349107678,-6617574.030719622,48185497.91024854,-1065341.5846068878,-5313429.874668615,-960349.2568307343,30.43158382066277,55519740.80518032,29.850482938753693,4248088.300375243,inf
