,기업공시코드,시장
0,A018700,코스닥
1,A007150,코스닥
2,A100090,코스닥
3,A042510,코스닥
4,A014200,코스닥
5,A007460,코스피
6,A065610,코스닥
7,A082660,코스닥
8,A053040,코스닥
9,A053810,코스닥
10,A900110,코스닥
11,A054090,코스닥
12,A058420,코스닥
13,A004720,코스피
14,A012170,코스피
15,A001060,코스피
16,A028670,코스피
17,A095910,코스닥
18,A038340,코스닥
19,A028090,코스닥
20,A000890,코스피
21,A065770,코스닥
22,A078890,코스닥
23,A003010,코스피
24,A101240,코스닥
25,A078860,코스닥
26,A048410,코스닥
27,A102280,코스피
28,A002210,코스피
29,A065060,코스닥
30,A036090,코스닥
31,A049470,코스닥
32,A064820,코스닥
33,A013340,코스닥
34,A114190,코스닥
35,A053030,코스닥
36,A013780,코스닥
37,A033430,코스닥
38,A015540,코스피
39,A006490,코스피
40,A038290,코스닥
41,A074610,코스피
42,A037950,코스닥
43,A009190,코스피
44,A011000,코스피
45,A019210,코스닥
46,A010670,코스닥
47,A088130,코스닥
48,A011800,코스피
49,A005690,코스피
50,A065180,코스닥
51,A045390,코스닥
52,A011330,코스피
53,A092220,코스피
54,A025320,코스닥
55,A083470,코스닥
56,A056810,코스닥
57,A071660,코스닥
58,A046430,코스닥
59,A041910,코스닥
60,A007390,코스닥
61,A047770,코스닥
62,A058370,코스닥
63,A031860,코스닥
64,A094860,코스닥
65,A090370,코스피
66,A054210,코스닥
67,A048550,코스닥
68,A036500,코스닥
69,A037340,코스닥
70,A036540,코스닥
71,A068150,코스닥
72,A033550,코스닥
73,A042040,코스닥
74,A003190,코스피
75,A115570,코스닥
76,A095300,코스닥
77,A039200,코스닥
78,A033110,코스닥
79,A071950,코스피
80,A080530,코스닥
81,A001780,코스피
82,A052300,코스닥
83,A067920,코스닥
84,A083660,코스닥
85,A058630,코스닥
86,A054300,코스닥
87,A071930,코스닥
88,A900120,코스닥
89,A050110,코스닥
90,A026260,코스닥
91,A054670,코스닥
92,A086890,코스닥
93,A078590,코스닥
94,A048460,코스닥
95,A061460,코스닥
96,A065620,코스닥
97,A005960,코스피
98,A138690,코스닥
99,A071530,코스닥
100,A066350,코스닥
101,A099440,코스닥
102,A005750,코스피
103,A069140,코스닥
104,A089230,코스닥
105,A058820,코스닥
106,A056700,코스닥
107,A052290,코스닥
108,A002630,코스피
109,A900080,코스닥
110,A126870,코스닥
111,A078780,코스닥
112,A043260,코스닥
113,A046840,코스닥
114,A038720,코스닥
115,A008900,코스피
116,A011810,코스피
117,A038460,코스닥
118,A035480,코스닥
119,A029480,코스닥
120,A085310,코스피
121,A023770,코스닥
122,A001020,코스피
123,A111820,코스닥
124,A064290,코스닥
125,A064520,코스닥
126,A019660,코스닥
127,A067250,코스피
128,A084730,코스닥
129,A006200,코스피
130,A049550,코스닥
131,A065130,코스닥
132,A053700,코스닥
133,A037460,코스닥
134,A064550,코스닥
135,A056080,코스닥
136,A048910,코스닥
137,A127120,코스닥
138,A013450,코스닥
139,A059210,코스닥
140,A068420,코스닥
141,A024890,코스피
142,A099830,코스닥
143,A044060,코스닥
144,A002700,코스피
145,A032420,코스닥
146,A060900,코스닥
147,A008080,코스피
148,A065170,코스닥
149,A059100,코스닥
150,A114120,코스닥
151,A016380,코스피
152,A028300,코스닥
153,A052420,코스닥
154,A073930,코스닥
155,A065690,코스닥
156,A007120,코스피
157,A041060,코스닥
158,A001360,코스피
159,A000420,코스피
160,A081580,코스닥
161,A114570,코스닥
162,A065940,코스닥
163,A053330,코스닥
164,A069110,코스닥
165,A035900,코스닥
166,A036220,코스닥
167,A007980,코스피
168,A032860,코스닥
169,A005190,코스피
170,A079190,코스닥
171,A122450,코스닥
172,A024740,코스닥
173,A111610,코스닥
174,A036170,코스닥
175,A010170,코스닥
176,A053110,코스닥
177,A093230,코스피
178,A006050,코스닥
179,A900100,코스닥
180,A131100,코스닥
181,A051780,코스닥
182,A043710,코스닥
183,A099520,코스닥
184,A043220,코스닥
185,A151910,코스닥
186,A059090,코스닥
187,A065160,코스닥
188,A049180,코스닥
189,A088800,코스닥
190,A060230,코스닥
191,A066790,코스닥
192,A036710,코스닥
193,A047310,코스닥
194,A002230,코스닥
195,A079970,코스닥
196,A012600,코스피
197,A040350,코스닥
