,BW금액,CB금액,불성실공시법인지정카운트,상호변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,결산기간_거래량증가,결산기간_주가변동률,당기순이익,매출채권,매출총이익,영업이익,영업현금흐름,차입금의존도,총자본,최대주주비율,판매 및 관리비,최대주주비율_변동성
2012-01,2357226603.8834953,443201016.9029126,0.1262135922330097,0.04271844660194175,2251015165.0970874,0.5495145631067961,734721760.4699029,0.1533980582524272,2040092161.730097,inf,1.0378996592015057,-3673084.643493528,19676842.767936893,285985.3764126214,-2253649.6351925563,82.15926860850124,27.707043689320386,45701393.46459062,30.764379389633866,2539638.5831974107,-0.0003752622074658535
2012-04,2498525860.6060605,445175801.42424244,0.1191919191919192,0.050505050505050504,5137350016.1131315,0.5616161616161616,706024571.2969697,0.17575757575757575,3229484037.171717,inf,1.4010322233072179,-6331077.31759091,30007294.65031313,-292213.3537777777,-3308435.9388838382,-4598.230020202004,28.194222222222223,48943194.00805051,30.06006802704465,3016222.5865959595,0.00041355002072182676
2012-07,3440211379.958246,385204638.2150313,0.1440501043841336,0.06680584551148225,4106493902.19833,0.5553235908141962,748720522.7640918,0.21085594989561587,3570137478.348643,inf,1.6634487036916419,-8160466.753434239,35149419.6475261,-372911.6953392483,-4019657.9588152403,126906.68075156579,31.452259916492693,51856998.107426934,28.418411864358426,3647086.0169572025,0.004251796919485127
2012-10,3001561081.439394,329557973.4848485,0.12121212121212122,0.07007575757575757,2827870611.901515,0.4659090909090909,805409267.3257576,0.17803030303030304,3522683031.3560605,inf,1.5635433509938776,-7061036.46955019,37585664.27617897,-237972.30428030287,-3838968.888944129,-625187.3404529671,29.48862215909091,49966770.7013589,30.72872031560997,3601304.7991808713,0.005726132788068407
2013-01,2464895010.1832995,608624070.6639512,0.11812627291242363,0.07942973523421588,1524031717.8126273,0.4725050916496945,756376322.2586558,0.19144602851323828,2402952231.3503056,inf,1.5534985099281564,-6496226.11575017,32829746.29286151,-698649.0050814664,-3925011.980242702,-1515811.9061642906,29.727683299389003,43451224.729343176,30.39843702433273,3224562.2474779366,0.005377564895749925
2013-04,1864175579.1505792,797454142.7664093,0.11583011583011583,0.07528957528957529,4672498901.793436,0.3783783783783784,739152458.0926641,0.20077220077220076,1427993646.372587,inf,1.5839580501891897,-5713482.016813063,18262796.592668917,-265167.8434266409,-2818323.547762226,-865086.0019208494,28.672533783783784,30966140.185608108,31.660275374514757,2549427.797709138,0.007045314157307852
2013-07,993458252.4271845,1350967467.8699028,0.09320388349514563,0.07378640776699029,5236320015.15534,0.3883495145631068,676051352.4,0.18640776699029127,1485092929.2951458,inf,1.5588477335942086,-6575589.101038835,40778130.43047573,-191738.13750970896,-3794323.2951504854,-2266055.928192557,30.550131067961168,42929859.22422816,32.038827563757735,3598519.533786408,0.008823902668870311
2013-10,178304609.21843687,1541112717.3406813,0.10420841683366733,0.06813627254509018,6097981670.254509,0.3807615230460922,702349546.2965932,0.21042084168336672,1352604311.4268537,inf,1.6414519271865382,-6963075.159038075,44321553.849929854,-248462.62564629255,-3934141.263557115,-2259142.05005845,31.32700901803607,47044107.42632765,30.81188832998969,3681482.653296593,inf
2014-01,170466417.91044775,1463849098.7369404,0.08955223880597014,0.061567164179104475,4348308408.828359,0.34328358208955223,496287970.1977612,0.16791044776119404,1309566384.710821,inf,1.3142166607026253,-5682374.400569029,17348016.948880594,-282703.50380441546,-2634065.5198616297,-1090800.2075590799,28.368218283582088,30024643.485354476,31.893200881815424,2351362.017509328,inf
2014-04,188460111.3172542,1598660375.9962895,0.07421150278293136,0.06493506493506493,1785949834.974026,0.41929499072356213,580461485.5769944,0.15955473098330242,1519942602.5120595,inf,1.211584486934724,-2284902.2409044523,17240266.749138836,1470342.5279607296,-1038319.8576360545,-364280.4325664811,28.907379406307978,39949243.54927181,32.397039052509264,2508662.3862878787,inf
2014-07,163145009.41619587,1796689705.2617702,0.08286252354048965,0.08286252354048965,1460709866.4538605,0.4839924670433145,668923507.2090396,0.1958568738229755,1696247879.1468925,inf,1.0798535099837083,-1920682.971977401,13212770.315235404,1339144.0083003766,-1002236.2071468927,-207196.30647363467,27.498502824858758,36300283.01865349,32.62458959704562,2341380.2250141245,inf
2014-10,123105360.44362292,2356978250.4510164,0.08502772643253234,0.08317929759704251,1557459557.2920518,0.49353049907578556,974144591.6820703,0.1977818853974122,1851126399.8465805,inf,0.9576877624094134,-1864945.80581793,12953161.38977819,1332203.4274075786,-926441.8170286508,-165251.99498305607,27.003535120147873,36751769.623202406,32.19784763995463,2258645.247740296,inf
2015-01,165895953.75722542,2693361259.7842,0.0905587668593449,0.0905587668593449,1237640196.1695569,0.51252408477842,1519445210.9441233,0.23892100192678228,1743681696.9075143,inf,0.9771660998447143,-1926601.8705924854,13011981.044152213,1415900.4204335262,-972851.0367646115,-230533.80903339764,26.78941233140655,36879887.80109345,31.01343022018149,2388751.4697238277,inf
2015-04,216787003.61010832,3291617914.232852,0.09566787003610108,0.08844765342960288,4385870606.7129965,0.5270758122743683,1679366792.8953068,0.26714801444043323,2818342353.8140793,inf,0.9926959796981996,-3598759.9502211185,30791081.798258122,346436.95045577607,-2487007.195565584,-718867.2537770759,26.371015342960288,42171753.40055054,31.687399366609835,2833444.1465944643,inf
2015-07,580358620.6896552,3779293346.0127044,0.10163339382940109,0.09800362976406533,1341462045.8838475,0.5208711433756806,1841026034.8239565,0.2831215970961887,2163784342.0490017,inf,0.9470673798326019,-1807654.1548578343,13002744.229354205,1568901.6616439805,-913159.6044449486,-292158.33378402906,25.358309134906232,38906407.26906987,31.104524786777525,2486512.7268768908,inf
