,0
BW금액,1094767954.2782462
CB금액,5429952436.847815
불성실공시법인지정카운트,0.1259148748048416
상호변경카운트,0.08299902772885531
유상증자금액,2928451684.7377625
조회공시요구카운트,0.3737684541750584
최대주주변경을수반하는주식양수도금액,1530820388.537697
최대주주변경카운트,0.23807048745234857
타법인주식및출자증권취득결정금액,2671802441.593859
결산기간_거래량증가,inf
결산기간_주가변동률,0.9109859056296956
당기순이익,-4035490.308060962
매출채권,18199484.012531456
매출총이익,1092989.841021257
영업이익,-1922427.5222331716
영업현금흐름,-676446.0239610394
차입금의존도,26.916678370157793
총자본,46008022.535830475
최대주주비율,29.39466778603138
판매 및 관리비,3015199.7173000784
최대주주비율_변동성,inf
