,BW금액,CB금액,불성실공시법인지정카운트,상호변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,결산기간_거래량증가,결산기간_주가변동률,당기순이익,매출채권,매출총이익,영업이익,영업현금흐름,차입금의존도,총자본,최대주주비율,판매 및 관리비,최대주주비율_변동성
2012-01,2357226603.8834953,443201016.9029126,0.1262135922330097,0.04271844660194175,2251015165.0970874,0.5495145631067961,734721760.4699029,0.1533980582524272,2040092161.730097,inf,1.0378996592015057,-3673084.643493528,19676842.767936893,285985.3764126214,-2253649.6351925563,82.15926860850124,27.707043689320386,45701393.46459062,30.764379389633866,2539638.5831974107,-0.0003752622074658535
2013-01,2464895010.1832995,608624070.6639512,0.11812627291242363,0.07942973523421588,1524031717.8126273,0.4725050916496945,756376322.2586558,0.19144602851323828,2402952231.3503056,inf,1.5534985099281564,-6496226.11575017,32829746.29286151,-698649.0050814664,-3925011.980242702,-1515811.9061642906,29.727683299389003,43451224.729343176,30.39843702433273,3224562.2474779366,0.005377564895749925
2014-01,167344322.34432235,1482826221.470696,0.08608058608058608,0.06043956043956044,4619218511.230769,0.34615384615384615,518700278.4358974,0.16483516483516483,1330032201.8406594,inf,1.3260219013980312,-5826225.997217643,20796078.15253205,-210945.19399267403,-2741322.395477717,-1217581.2209645913,29.133846153846154,34327308.14771978,32.00369419750319,2530377.2021245426,inf
2015-01,442912621.3592233,3256440997.724272,0.0970873786407767,0.0970873786407767,2323875614.6737866,0.5475728155339806,1486776962.0970874,0.2504854368932039,3964528892.029126,inf,1.3087559724450948,-6590679.94521521,48019617.349616505,-1053669.5402524276,-5291821.599245954,-956086.8407459549,30.398432038834954,55348543.19942233,29.87667897510178,4238152.069266991,inf
2016-01,460775886.5248227,6389303057.945036,0.11879432624113476,0.09574468085106383,3680460626.847518,0.5656028368794326,1966572820.5248227,0.3102836879432624,2284951395.400709,inf,0.8362461597107453,-3264128.503897754,13242998.983009752,1117024.8807816193,-1459382.4259131206,-425160.6093306738,25.02207446808511,39401547.57134309,29.544091844634718,2580431.3420508276,inf
2017-01,662169491.5254238,6080097146.594915,0.1135593220338983,0.07966101694915254,2316286593.7288136,0.33559322033898303,1713717178.937288,0.26440677966101694,1841213911.0864406,inf,0.7584000793323538,-7069808.358042371,14005218.620570622,1464499.4946242939,-1324001.6440056497,-30770.98205508471,23.833588983050845,38160765.39873729,28.781006112661974,2788501.133067796,inf
2018-01,1826304713.8047137,10019524008.080809,0.13973063973063973,0.08417508417508418,1402708175.3417509,0.2542087542087542,2513045769.138047,0.2760942760942761,3548504810.198653,inf,0.9070399328145495,-2233791.6986195287,13239924.889915824,1678383.1294262065,-1210696.3094486531,-881879.5290039282,25.204945286195287,48026133.81576178,26.916870384169556,2889079.4412766555,0.009567559030911742
2019-01,837241378.7517241,8182753121.4827585,0.18275862068965518,0.09137931034482759,1015462537.5551724,0.19655172413793104,2107193439.2327585,0.2655172413793103,3613157045.974138,inf,0.4852720904743266,-2528998.6712600575,10553827.91861638,1850548.1067658046,-1094116.0239583333,-582694.4740531609,27.11075862068966,45434878.31250862,26.760330695249603,2944232.61333477,inf
2020-01,969187675.0700281,7115505287.114846,0.1484593837535014,0.0784313725490196,2429911512.6834736,0.27871148459383754,1733202542.0014005,0.20728291316526612,3447466285.7801123,inf,0.3476808397523978,-3736516.3352941177,11730156.402978523,1501123.7732399625,-1901017.867615546,-797666.2613900562,26.846122782446315,57624519.56336485,29.067169930875576,3407591.303844538,inf
2021-01,1239637305.699482,9995431953.6943,0.11269430051813471,0.08160621761658031,4372223212.617876,0.15414507772020725,1388991107.7590673,0.20077720207253885,2913453664.7681346,inf,0.635082098404685,-2634867.5863482296,11289752.961379534,1892090.8234348013,-1634015.5615813904,-1138908.572429836,25.359954663212438,60761426.76574482,29.05903450078171,3524980.715276339,inf
