,BW금액,CB금액,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식담보제공금액,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,특수관계인에대한자금대여금액,결산기간_거래량증가,결산기간_주가변동률,매출채권,영업현금흐름,차입금의존도,최대주주비율,판매 및 관리비,최대주주비율_변동성
2012-01,1303256155.7788944,359091487.0665829,0.0,0.07914572864321608,0.04020100502512563,0.09296482412060302,295658390.41080403,0.3630653266331658,0.0,746008592.0075377,0.11180904522613065,1410100691.2386935,16.331658291457288,inf,0.4513406202627537,12537287.611695979,-506448.7103402432,20.759839824120604,36.65310799633921,3900099.647966918,0.001581941366879622
2012-04,1494170844.3271768,402790413.85883904,0.0,0.07387862796833773,0.04353562005277045,0.09366754617414248,679165393.2427441,0.3482849604221636,0.0,522700843.5646438,0.10158311345646438,1513231655.4472296,0.0,inf,0.6794473060499401,12823707.50224604,-978579.0873317943,22.61709762532982,35.40258899343345,3392123.4781816183,0.0018869570485792744
2012-07,1671990443.0379746,276539409.7531645,0.0,0.07341772151898734,0.04683544303797468,0.020253164556962026,728590577.556962,0.3012658227848101,0.0,572118692.156962,0.11772151898734177,1475412444.9898734,0.0,inf,0.6632089516088105,13867674.407025315,-1611691.7469694095,22.45205801687764,35.676922874024505,3788542.2505443036,0.002799268293915549
2012-10,2369222955.3903346,413998349.4423792,0.0,0.07806691449814127,0.06133828996282528,0.024163568773234202,1129140782.4330854,0.2899628252788104,0.0,848747319.8364313,0.10594795539033457,2169684109.7973976,0.0,inf,0.7597821924381495,18996922.939302973,102008.12338444863,24.810334572490703,37.05192060009897,4263673.867894982,0.007315391580260129
2013-01,1920783500.6273525,418863762.47929734,0.0075282308657465494,0.06775407779171895,0.05144291091593475,0.020075282308657464,786156967.348808,0.2584692597239649,0.0,744252068.1204517,0.12296110414052698,1704674779.8757842,50.188205771643666,inf,0.7066433808697978,14134838.138958594,-661891.4850512338,22.84891886240067,35.66202139331183,3310648.545387913,0.003523232913008535
2013-04,2307245296.5235176,1032476985.5889571,0.026584867075664622,0.11247443762781185,0.06952965235173825,0.024539877300613498,1494781252.014315,0.3374233128834356,0.0,916293459.9018404,0.17791411042944785,2172097325.2167687,0.0,inf,1.5311900948022152,22953430.69344581,-8447290.740899796,36.173098159509195,27.03938553252193,9575015.86167689,0.006644155534112058
2013-07,959225850.340136,812106457.0789115,0.036734693877551024,0.05986394557823129,0.05714285714285714,0.029931972789115645,910281059.414966,0.23265306122448978,0.0,942059826.2394558,0.14421768707482993,4871973288.761905,0.0,inf,0.6323869701263723,12903771.508801587,-1012923.1378208617,21.840774376417233,33.99329797276784,4608033.373260771,0.007726138258680686
2013-10,173633495.14563107,968161706.2536408,0.043689320388349516,0.050970873786407765,0.04975728155339806,0.024271844660194174,984247938.4817961,0.20509708737864077,0.0,828397308.4975728,0.13470873786407767,2154618822.895631,0.0,inf,0.69253773633448,15216007.884205095,-2262313.031980178,23.374881674757276,35.9260952488273,3776444.449631877,inf
2014-01,145306553.91120508,1892365997.7230444,0.035940803382663845,0.07399577167019028,0.048625792811839326,0.021141649048625793,3875740470.3657503,0.27061310782241016,0.0,413932346.7230444,0.14376321353065538,7338507568.27907,0.0,0.9133044400311556,1.4584930182976088,23041557.706728328,-10506930.257061314,30.94255285412261,30.948423089754943,12334656.976027122,0.031266405514148256
2014-04,131650853.88994308,1508958145.4686906,0.056925996204933584,0.058823529411764705,0.04174573055028463,0.024667931688804556,1271079627.6356735,0.29411764705882354,0.0,1164096946.0341556,0.1366223908918406,2330412073.776091,0.0,inf,0.904783533527537,19028723.637164768,572146.4353352309,25.302590132827326,35.8081535580148,3767735.8451312464,0.006482021993804038
2014-07,267012711.8644068,2711662825.1991525,0.0635593220338983,0.08898305084745763,0.08050847457627118,0.05296610169491525,3093432986.78178,0.4894067796610169,0.0,585571548.7669492,0.19703389830508475,3152804588.0911016,0.0,inf,1.2222736082508991,19735939.839894067,-5565158.640651483,36.97602224576271,28.301305812123914,11609848.50860699,0.0031168196031426754
2014-10,290297029.7029703,3250635353.4534655,0.05742574257425743,0.0891089108910891,0.08712871287128712,0.0594059405940594,1409258810.10099,0.504950495049505,49106930.69306931,1062852057.7227722,0.20594059405940593,3665395380.558416,0.0,inf,1.0844854705609464,20110593.748359732,-5812643.077128712,34.63131848184818,28.076031332242376,11028625.550783828,inf
