,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,상호변경카운트+업종변경카운트,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액,BW금액+CB금액+유상증자금액,최대주주변경카운트,결산기간_거래량증가,결산기간_주가변동률,당기순이익,매출채권,매출총이익,영업이익,영업현금흐름,차입금의존도,총자본,최대주주비율,판매 및 관리비,최대주주비율_변동성
2012-01,0.8762886597938144,0.19072164948453607,3396196808.1804123,1124586122.1649485,9142537191.814432,0.2268041237113402,1.5340419516896353,1.1246044450454884,-2829206.765360825,20110014.506121133,1189077.3745360828,-1775449.6099914075,-784225.1849269764,35.77900773195877,36698407.455798976,23.35352748170936,2964526.9811383174,-0.007204037356032214
2013-01,1.1705426356589148,0.10077519379844961,7044330516.860465,694135837.3333334,11210556765.906977,0.2868217054263566,1.1930080979816142,4.045330713337686,-21921666.674224813,103060493.38808142,-5907294.02116279,-13540083.67007752,-5944422.321666665,45.39077519379846,84604778.05901162,26.446231309041835,7634051.1907558115,-0.009146387928646376
2014-01,0.8306010928961749,0.1366120218579235,2174263793.1202188,550765027.3224044,17029788970.639345,0.29508196721311475,1.1540827447551716,2.9344149928347614,-15051114.860341528,32075411.28491803,-4054363.0706284177,-7276712.5204235,-3283195.3869672134,41.72484972677595,21109172.914685804,23.089391943793903,3222349.437103825,0.07881139758326676
2015-01,1.3774834437086092,0.31788079470198677,3815460655.9006624,4435835765.099338,10643528123.642384,0.6291390728476821,2.280547012205834,1.4738551682699887,-3845777.232268212,15439317.8944702,747828.9520529801,-1932546.7589403975,-1232882.0472350994,33.010248344370865,28635856.32185431,22.850466169087795,2680375.7419370865,inf
2016-01,2.0357142857142856,0.2642857142857143,5741891118.885715,8763805558.47857,32954589897.864285,0.8857142857142857,inf,1.4935396585806051,-9794248.14554762,21267229.785303574,-419411.82135119056,-4613311.61175,-1108859.2147857144,34.13205357142858,36784961.96176785,19.214785200348427,4193899.772398809,-0.021284048141659836
2017-01,1.1567567567567567,0.2972972972972973,4344069201.264865,7710118207.151351,24529103491.35676,0.6270270270270271,inf,1.11459321251155,-21287454.0237027,22302944.857,794004.6164639641,-3442348.9806441437,131447.23609008983,32.59805405405405,35076792.587148644,18.928410032254487,4236353.618963964,inf
2018-01,1.302857142857143,0.17142857142857143,8653019605.782858,9833360199.114286,34269075530.73143,0.64,inf,1.6321922740694448,-4766776.555314286,21167464.00852857,1590029.1391238098,-2605053.979347619,-1917382.7335523807,34.03917142857143,64076070.374371424,20.70078849648711,4195083.126585714,0.0041866400832373165
2019-01,1.4025974025974026,0.2662337662337662,8762471690.487013,8687004289.0,24377741573.025974,0.7012987012987013,1.6877562322448616,0.921384150883763,-5109245.634853896,13831626.311639609,1986961.958917749,-1936473.0842261906,-1487676.8600595237,40.21293831168831,47192753.53517857,18.459545082356673,3923426.771212121,inf
2020-01,0.9877551020408163,0.21224489795918366,8388962594.84898,4062707336.310204,24647840532.82857,0.3346938775510204,inf,0.572969544110946,-9167946.048911566,16299087.026255101,365823.54720068007,-5010417.972687075,-2569837.053363946,40.234295918367344,79256696.40946938,21.10251025345622,5372434.61712585,inf
2021-01,0.46357615894039733,0.11589403973509933,3402764553.268212,3771800496.7880793,23248527759.221855,0.2152317880794702,1.2637993650380177,0.6683424472574269,-4520960.751724612,13871124.93586093,2645395.6378945904,-2439100.9306898466,-1814622.3017190963,29.65521523178809,59618140.08645703,27.449007922741718,5079985.538923847,-0.015105425021375376
