,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액+타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액+BW금액+CB금액+유상증자금액,경영권분쟁소송+최대주주변경카운트+불성실공시법인지정카운트+조회공시요구카운트+상호변경카운트+업종변경카운트,결산기간_거래량증가,결산기간_주가변동률,당기순이익,매출채권,매출총이익,영업이익,영업현금흐름,차입금의존도,총자본,최대주주비율,판매 및 관리비,최대주주비율_변동성
2012-01,16540016685.48366,1.196078431372549,1.3296810666467764,1.9515534466844584,-6746306.955876909,34548024.312696084,-576221.5361819164,-4787961.72627451,-789076.7292810456,43.281192810457526,68268225.2884423,26.06913588182585,4211740.18759259,-0.014553786949221556
2013-01,20317347074.201614,1.4112903225806452,1.2214266845082453,4.390567736427337,-24349474.13794356,109274191.88250001,-6129393.33969758,-14338163.85655242,-5738662.824596772,45.619737903225804,102961035.16157255,28.927098210787513,8210082.921774192,-0.004516578763696052
2014-01,22748315488.92361,2.3680555555555554,2.068828894157984,3.5961523741559906,-17799827.404924765,30208032.76293402,-5223986.82689236,-8013656.659334491,-3609888.0872453707,30.829913194444448,5919321.245763887,24.250850600907032,2789669.8497858793,inf
2015-01,20606491457.151318,2.138157894736842,1.1519889088081972,2.0684833037139954,-6244505.762450658,33449494.2065625,-1399429.9716447368,-4321867.610049342,-1639472.006299342,32.6846875,36570432.2874671,25.09461561704159,2922437.6582236844,inf
2016-01,14231445086.353592,1.9226519337016574,inf,0.7935427732420566,-1305337.650276243,11313771.96299724,1766076.5789226517,-684429.5078222837,-247742.91930478832,25.92885359116022,35571855.81541436,28.539759142972652,2450506.1093968693,-0.02332709969780846
2017-01,32233105358.244793,2.4166666666666665,inf,1.1865970771775853,-19550915.30391927,20961774.82109375,561764.1789800349,-3366167.040355902,27021.541232638836,31.743046875,34045510.77066406,18.08110352794925,3927931.232400174,inf
2018-01,44249658948.01288,1.8583690987124464,inf,1.0713376766438885,-4213075.369817596,18738861.780675966,1696640.3700071531,-2220785.0223319028,-1779291.936015737,34.030922746781116,55524225.45391631,20.918989944065284,3917425.399538627,0.005981350033372494
2019-01,34393174878.195,2.575,1.7352258826068994,0.5152845776982876,-3909257.2728166664,11565267.1973,2066871.6369083333,-1342673.5398916667,-774884.3365458332,34.2299875,45462668.984037496,19.565421138211377,3409538.8058125,inf
2020-01,33572503518.570282,1.6104417670682731,inf,0.6244797040951415,-9330883.156298526,17432788.549538154,563453.6024564926,-4956890.094993306,-2330407.3442938426,41.334487951807226,78730141.87237953,20.574488928293817,5516597.948356761,inf
2021-01,29140666204.515984,1.8675799086757991,inf,0.49998513250323023,-2426894.1428767126,6912509.821312784,1267869.095281583,-1136529.7130593606,-748350.7768302892,25.80896118721461,46517017.88746575,20.628501298055674,2408825.161917808,inf
