,코스피,코스닥
2011-12-29,1825.74,500.18
2012-01-02,1826.37,506.79
2012-01-03,1875.41,513.83
2012-01-04,1866.22,516.3
2012-01-05,1863.74,521.96
2012-01-06,1843.14,518.94
2012-01-09,1826.49,520.28
2012-01-10,1853.22,525.74
2012-01-11,1845.55,518.58
2012-01-12,1864.57,520.34
2012-01-13,1875.68,523.13
2012-01-16,1859.27,519.85
2012-01-17,1892.74,519.58
2012-01-18,1892.39,513.2
2012-01-19,1914.97,515.7
2012-01-20,1949.89,512.17
2012-01-25,1952.23,511.47
2012-01-26,1957.18,516.45
2012-01-27,1964.83,515.81
2012-01-30,1940.55,510.33
2012-01-31,1955.79,513.99
2012-02-01,1959.24,519.25
2012-02-02,1984.3,522.08
2012-02-03,1972.34,522.59
2012-02-06,1973.13,517.1
2012-02-07,1981.59,519.07
2012-02-08,2003.73,520.95
2012-02-09,2014.62,524.27
2012-02-10,1993.71,528.67
2012-02-13,2005.74,533.19
2012-02-14,2002.64,535.36
2012-02-15,2025.32,537.86
2012-02-16,1997.45,535.3
2012-02-17,2023.47,540.14
2012-02-20,2024.9,540.33
2012-02-21,2024.24,543.06
2012-02-22,2028.65,544.2
2012-02-23,2007.8,541.13
2012-02-24,2019.89,544.14
2012-02-27,1991.16,538.34
2012-02-28,2003.69,540.35
2012-02-29,2030.25,542.3
2012-03-02,2034.63,543.97
2012-03-05,2016.06,539.74
2012-03-06,2000.36,533.62
2012-03-07,1982.15,532.48
2012-03-08,2000.76,535.76
2012-03-09,2018.3,539.55
2012-03-12,2002.5,536.11
2012-03-13,2025.04,538.46
2012-03-14,2045.08,538.86
2012-03-15,2043.76,538.31
2012-03-16,2034.44,539.78
2012-03-19,2047.0,539.83
2012-03-20,2042.15,535.55
2012-03-21,2027.23,533.93
2012-03-22,2026.12,527.9
2012-03-23,2026.83,527.47
2012-03-26,2019.19,523.39
2012-03-27,2039.76,521.74
2012-03-28,2031.74,519.56
2012-03-29,2014.41,514.21
2012-03-30,2014.04,519.56
2012-04-02,2029.29,521.8
2012-04-03,2049.28,515.83
2012-04-04,2018.61,502.97
2012-04-05,2028.77,503.34
2012-04-06,2029.03,503.41
2012-04-09,1997.08,486.8
2012-04-10,1994.41,484.77
2012-04-12,1986.63,485.71
2012-04-13,2008.91,499.46
2012-04-16,1992.63,501.09
2012-04-17,1985.3,500.38
2012-04-18,2004.53,503.63
2012-04-19,1999.86,501.92
2012-04-20,1974.65,497.56
2012-04-23,1972.63,495.02
2012-04-24,1963.42,487.62
2012-04-25,1961.98,483.48
2012-04-26,1964.04,476.62
2012-04-27,1975.35,479.08
2012-04-30,1981.99,478.89
2012-05-02,1999.07,485.54
2012-05-03,1995.11,487.44
2012-05-04,1989.15,490.53
2012-05-07,1956.44,487.01
2012-05-08,1967.01,494.6
2012-05-09,1950.29,491.56
2012-05-10,1944.93,494.27
2012-05-11,1917.13,493.66
2012-05-14,1913.73,488.53
