,기업공시코드,시장
0,A000020,Y
1,A000040,Y
2,A000050,Y
3,A000060,Y
4,A000070,Y
5,A000080,Y
6,A000100,Y
7,A000120,Y
8,A000140,Y
9,A000150,Y
10,A000180,Y
11,A000210,Y
12,A000220,Y
13,A000230,Y
14,A000240,Y
15,A000250,K
16,A000270,Y
17,A000300,Y
18,A000320,Y
19,A000370,Y
20,A000390,Y
21,A000400,Y
22,A000430,Y
23,A000440,K
24,A000480,Y
25,A000490,Y
26,A000500,Y
27,A000520,Y
28,A000540,Y
29,A000590,Y
30,A000640,Y
31,A000650,Y
32,A000660,Y
33,A000670,Y
34,A000680,Y
35,A000700,Y
36,A000720,Y
37,A000760,Y
38,A000810,Y
39,A000850,Y
40,A000860,Y
41,A000880,Y
42,A000890,Y
43,A000910,Y
44,A000950,Y
45,A000970,Y
46,A000990,Y
47,A001000,K
48,A001020,Y
49,A001040,Y
50,A001060,Y
51,A001070,Y
52,A001080,Y
53,A001120,Y
54,A001130,Y
55,A001140,Y
56,A001200,Y
57,A001210,Y
58,A001230,Y
59,A001250,Y
60,A001260,Y
61,A001270,Y
62,A001290,Y
63,A001340,Y
64,A001360,Y
65,A001380,Y
66,A001390,Y
67,A001420,Y
68,A001430,Y
69,A001440,Y
70,A001450,Y
71,A001460,Y
72,A001470,Y
73,A001500,Y
74,A001510,Y
75,A001520,Y
76,A001530,Y
77,A001540,K
78,A001550,Y
79,A001560,Y
80,A001570,Y
81,A001620,Y
82,A001630,Y
83,A001680,Y
84,A001720,Y
85,A001740,Y
86,A001750,Y
87,A001770,Y
88,A001780,Y
89,A001790,Y
90,A001800,Y
91,A001810,K
92,A001820,Y
93,A001840,K
94,A001880,Y
95,A001940,Y
96,A002020,Y
97,A002030,Y
98,A002070,Y
99,A002100,Y
100,A002140,Y
101,A002150,Y
102,A002170,Y
103,A002200,Y
104,A002210,Y
105,A002220,Y
106,A002230,K
107,A002240,Y
108,A002290,K
109,A002310,Y
110,A002320,Y
111,A002350,Y
112,A002360,Y
113,A002380,Y
114,A002390,Y
115,A002410,Y
116,A002420,Y
117,A002450,Y
118,A002460,Y
119,A002600,Y
120,A002620,Y
121,A002630,Y
122,A002680,K
123,A002690,Y
124,A002700,Y
125,A002710,Y
126,A002720,Y
127,A002760,Y
128,A002780,Y
129,A002790,Y
130,A002800,K
131,A002810,Y
132,A002820,Y
133,A002840,Y
134,A002870,Y
135,A002880,Y
136,A002900,Y
137,A002920,Y
138,A002960,Y
139,A002990,Y
140,A003000,Y
141,A003010,Y
142,A003030,Y
143,A003060,Y
144,A003070,Y
145,A003080,Y
146,A003090,Y
147,A003100,K
148,A003120,Y
149,A003160,Y
150,A003200,Y
151,A003220,Y
152,A003230,Y
153,A003240,Y
154,A003280,Y
155,A003300,Y
156,A003310,K
157,A003350,Y
158,A003380,K
159,A003410,Y
160,A003460,Y
161,A003470,Y
162,A003480,Y
163,A003490,Y
164,A003520,Y
165,A003530,Y
166,A003540,Y
167,A003550,Y
168,A003560,Y
169,A003570,Y
170,A003580,Y
171,A003610,Y
172,A003620,Y
173,A003650,Y
174,A003670,Y
175,A003680,Y
176,A003690,Y
177,A003720,Y
178,A003780,Y
179,A003800,K
180,A003830,Y
181,A003850,Y
182,A003920,Y
183,A003960,Y
184,A004000,Y
185,A004020,Y
186,A004060,Y
187,A004080,Y
188,A004090,Y
189,A004100,Y
190,A004140,Y
191,A004150,Y
192,A004170,Y
193,A004250,Y
194,A004270,Y
195,A004310,Y
196,A004360,Y
197,A004370,Y
198,A004380,Y
199,A004410,Y
200,A004430,Y
201,A004440,Y
202,A004450,Y
203,A004490,Y
204,A004540,Y
205,A004560,Y
206,A004590,K
207,A004650,K
208,A004690,Y
209,A004700,Y
210,A004710,Y
211,A004720,Y
212,A004770,Y
213,A004780,K
214,A004800,Y
215,A004830,Y
216,A004840,Y
217,A004870,Y
218,A004890,Y
219,A004910,Y
220,A004920,Y
221,A004960,Y
222,A004970,Y
223,A004980,Y
224,A004990,Y
225,A005010,Y
226,A005030,Y
227,A005070,Y
228,A005090,Y
229,A005110,Y
230,A005160,K
231,A005180,Y
232,A005250,Y
233,A005290,K
234,A005300,Y
235,A005320,Y
236,A005360,Y
237,A005380,Y
238,A005390,Y
239,A005420,Y
240,A005430,Y
241,A005440,Y
242,A005490,Y
243,A005500,Y
244,A005610,Y
245,A005670,K
246,A005680,Y
247,A005690,Y
248,A005710,K
249,A005720,Y
250,A005740,Y
251,A005750,Y
252,A005800,Y
253,A005810,Y
254,A005820,Y
255,A005830,Y
256,A005850,Y
257,A005860,K
258,A005870,Y
259,A005880,Y
260,A005930,Y
261,A005940,Y
262,A005950,Y
263,A005960,Y
264,A005990,K
265,A006040,Y
266,A006050,K
267,A006060,Y
268,A006090,Y
269,A006110,Y
270,A006120,Y
271,A006140,K
272,A006200,Y
273,A006220,Y
274,A006260,Y
275,A006280,Y
276,A006340,Y
277,A006360,Y
278,A006370,Y
279,A006380,Y
280,A006390,Y
281,A006400,Y
282,A006490,Y
283,A006570,Y
284,A006580,K
285,A006620,K
286,A006650,Y
287,A006660,Y
288,A006730,K
289,A006740,Y
290,A006800,Y
291,A006840,Y
292,A006880,Y
293,A006890,Y
294,A006910,K
295,A006920,K
296,A006980,Y
297,A007070,Y
298,A007110,Y
299,A007120,Y
300,A007160,Y
301,A007210,Y
302,A007280,Y
303,A007310,Y
304,A007330,K
305,A007340,Y
306,A007370,K
307,A007390,K
308,A007460,Y
309,A007530,K
310,A007540,Y
311,A007570,Y
312,A007590,Y
313,A007610,Y
314,A007660,Y
315,A007680,K
316,A007690,Y
317,A007700,Y
318,A007720,K
319,A007770,K
320,A007810,Y
321,A007820,K
322,A007860,Y
323,A007980,Y
324,A008040,Y
325,A008060,Y
326,A008110,Y
327,A008250,Y
328,A008260,Y
329,A008290,K
330,A008350,Y
331,A008370,K
332,A008420,Y
333,A008470,K
334,A008490,Y
335,A008500,Y
336,A008560,Y
337,A008600,Y
338,A008700,Y
339,A008730,Y
340,A008770,Y
341,A008830,K
342,A008870,Y
343,A008930,Y
344,A008970,Y
345,A009070,Y
346,A009140,Y
347,A009150,Y
348,A009160,Y
349,A009180,Y
350,A009190,Y
351,A009200,Y
352,A009240,Y
353,A009270,Y
354,A009290,Y
355,A009300,K
356,A009310,Y
357,A009320,Y
358,A009410,Y
359,A009420,Y
360,A009440,Y
361,A009450,Y
362,A009460,Y
363,A009470,Y
364,A009520,K
365,A009540,Y
366,A009580,Y
367,A009620,K
368,A009680,Y
