,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
0,휴스틸,005010,2022-12-22,3965,유상증자(구주주배정),기명식 보통,17000000,67405000000
1,아센디오,012170,2022-12-20,980,유상증자(제3자배정),기명식 보통,4081632,3999999360
2,코오롱글로벌,003070,2022-12-20,26650,유상증자(구주주배정),기명식 1우선,673546,17950000900
3,에이엔피,015260,2022-12-19,1450,유상증자(제3자배정),기명식 보통,10758621,15600000450
4,국보,001140,2022-12-15,746,유상증자(제3자배정),기명식 보통,21461126,16009999996
5,인바이오젠,101140,2022-12-08,843,유상증자(제3자배정),기명식 보통,14234876,12000000468
6,삼화전자공업,011230,2022-12-07,3040,유상증자(제3자배정),기명식 보통,1644760,5000070400
7,쎌마테라퓨틱스,015540,2022-11-29,700,유상증자(제3자배정),기명식 보통,7142857,4999999900
8,플레이그램,009810,2022-11-28,825,유상증자(제3자배정),기명식 보통,14545454,11999999550
9,JW중외제약,001060,2022-11-24,30871,유상증자(제3자배정),기명식 1우선,142920,4412083320
10,플레이그램,009810,2022-11-24,798,유상증자(제3자배정),기명식 보통,1253132,999999336
11,제주항공,089590,2022-11-21,7980,유상증자(구주주배정),기명식 보통,27234043,217327663140
12,쌍용자동차,003620,2022-11-08,5000,유상증자(제3자배정),기명식 보통,48250100,241250500000
13,가온전선,000500,2022-11-03,10650,유상증자(구주주배정),기명식 보통,2198579,23414866350
14,한일현대시멘트,006390,2022-11-03,23225,유상증자(제3자배정),기명식 보통,1553137,36071606825
15,동부건설,005960,2022-11-01,5000,유상증자(제3자배정),기명식 보통,372,1860000
16,STX중공업,071970,2022-10-18,200000,유상증자(제3자배정),기명식 보통,15066,3013200000
17,케이비아이동국실업,001620,2022-10-07,539,유상증자(제3자배정),기명식 보통,12987012,6999999468
18,에어부산,298690,2022-10-04,2575,유상증자(구주주배정),기명식 보통,52000000,133900000000
19,아이에이치큐,003560,2022-09-27,649,유상증자(제3자배정),기명식 보통,7704161,5000000489
20,금호전기,001210,2022-09-20,1250,유상증자(제3자배정),기명식 보통,3208000,4010000000
21,아이에이치큐,003560,2022-09-08,649,유상증자(제3자배정),기명식 보통,7704161,5000000489
22,남선알미늄,008350,2022-09-07,2010,유상증자(제3자배정),기명식 보통,18900000,37989000000
23,하이스틸,071090,2022-09-07,4166,유상증자(제3자배정),기명식 보통,192031,800001146
24,고려아연,010130,2022-09-07,475000,유상증자(제3자배정),기명식 보통,993158,471750050000
25,다이나믹디자인,145210,2022-09-02,3375,-유상증자(공모증자)-국내CB전환,기명식 보통,1155587,3900106125
26,진양화학,051630,2022-08-25,2790,유상증자(구주주배정),기명식 보통,3800000,10602000000
27,컨버즈,109070,2022-08-25,792,유상증자(구주주배정),기명식 보통,19260955,15254676360
28,미래아이앤지,007120,2022-08-24,302,유상증자(제3자배정),기명식 보통,9933776,3000000352
29,SK리츠,395400,2022-08-23,5060,유상증자(구주주배정),기명식 보통,41533547,210159747820
30,HSD엔진,082740,2022-08-22,6980,유상증자(구주주배정),기명식 보통,12900000,90042000000
31,세기상사,002420,2022-08-12,7240,유상증자(구주주배정),기명식 보통,1016728,7361110720
32,CJ CGV,079160,2022-08-10,22000,유상증자(제3자배정),기명식 보통,6818182,150000004000
33,노루홀딩스,000320,2022-08-05,17150,유상증자(공모증자),기명식 1우선,58309,999999350
34,제이알글로벌리츠,348950,2022-07-29,4335,유상증자(구주주배정),기명식 보통,31776000,137748960000
35,메타랩스,090370,2022-07-18,600,유상증자(제3자배정),기명식 보통,50000000,30000000000
36,아이에이치큐,003560,2022-07-13,679,유상증자(제3자배정),기명식 보통,2945509,2000000611
37,이지스레지던스리츠,350520,2022-07-08,5800,유상증자(제3자배정),기명식 보통,7758617,44999978600
38,하나투어,039130,2022-07-07,49800,유상증자(주주배정후실권주일반공모),기명식 보통,2100000,104580000000
39,코스모화학,005420,2022-07-01,13250,유상증자(구주주배정),기명식 보통,3400000,45050000000
40,씨아이테크,004920,2022-06-30,1156,유상증자(제3자배정),기명식 보통,865050,999997800
41,아이에이치큐,003560,2022-06-22,869,유상증자(제3자배정),기명식 보통,3452244,3000000036
42,국보,001140,2022-06-22,1240,유상증자(제3자배정),기명식 보통,806451,999999240
